words,sentiment_coeff
ya,-1.1109912965827449
kay,-1.0572608437326216
bus,-1.157726037325796
ki,-1.1057813259430638
bat,-1.1100536233539626
nhi,-1.1327745520549346
hai,-1.0600872627966496
lakin,-1.169334579793696
main,-1.0835542105722176
hal,-1.1509411221621986
kal,-1.1406316610282403
bi,-1.1566849973407227
aj,-1.1137355267194031
aur,-1.0146931952797102
sirf,-1.1807388533846703
aus,-1.01251333817639
say,-1.1303194144578999
sahi,-1.1823387703145372
wah,-1.187708382225068
je,-1.0847725097432503
are,-1.173172418845858
wah_kya,-0.981452245775505
baat,-1.2041867913685458
likhi,-1.1473203414699304
wha,-1.0689926957663909
itni,-1.104699691334342
sari,-1.1457874093759084
ya_allah,-1.103357898311056
rehm,-1.152985931654994
farma,-1.1599432474064413
hm,-1.1940278152601544
sab,-1.2171283014425256
pe,-1.16443915743173
or,-1.048967926739463
hidayat_de,-1.011853899555107
ameen,-1.1261668418388964
please,-1.1264628267237808
allah,-1.098615994123282
ka_naam,-1.1566636086464477
hamesha,-1.2340462594898
bary,-1.1129809178645171
likha,-1.1618647953808412
kary,-1.1541070503790112
wo,-1.10299604191137
he,-1.0821934060523033
zaat,-1.0375891591211526
sub_say,-1.0457893742976845
bari,-1.2092924465144905
hey,-1.164360847396745
tu,-1.0753254247354673
bra,-1.0910101069962195
hy,-1.111773989908141
is,-1.0836558331114161
mulk,-1.1845332887795201
k,-1.0803817333657673
halat,-1.1645050280316112
pr,-1.198849243884289
reham,-1.0877001269887345
frma,-1.2155095883209857
ki_hifazat,-1.159386574645271
jaago,-0.8592984003452416
pakistani,-1.1847693644644457
ye,-1.1447489130615476
humary,-1.1766907901010901
nokar,-0.9933400611322315
han,-1.11461074724279
se,-1.0700711954410544
inko,-1.2575178174696378
milti,-1.2015989946387162
h,-1.0749667967040883
hum,-1.199796442795431
awam_ko,-1.21197995915518
hi,-1.1266007997583192
pakistan,-1.112474072155237
key,-1.0792850423853744
logo,-1.1590354320142384
kia,-1.1556025080829313
jae,-1.1661699728553463
kon,-1.1582876954371102
sacha,-1.0624591770782783
ha,-1.0179860235394746
jany,-1.2191764348887701
pak,-1.1340274825835264
kese,-1.1986102817170134
sakta,-1.2238946872398473
i_think,-1.1659134462177492
to,-1.1649870734253687
ase,-1.1636279318270213
e,-1.1494330003426971
jain,-1.0870813565350794
gi,-1.186076514672692
koi,-1.2090376411784112
hua,-1.1496379829020786
pta_ni,-1.1931164636511058
afsos_hota,-1.0295691859405032
insan,-1.1607335036132773
kha,-1.2439117174766376
jay,-1.1989564807156103
me,-1.1261332221601823
awaz,-1.1157042841812446
jo,-1.1307273540954652
kry_ga,-1.00739847660536
insaaf,-1.0570546734054003
karey,-1.0786036682781073
musalman,-1.1416637736395037
phir,-1.18994193774927
dor_e,-0.9976224827561164
jahalat,-1.0953016819751702
ko,-1.1149740119534681
awam,-1.2459989830673666
azab,-1.064927299904702
kardy,-1.079821111640744
thik,-1.0383395310039325
kaha,-1.2246704466826606
right,-1.1079320551881506
jee,-1.0885945861141326
maa,-1.1934389658849758
cheez,-1.2144442088789675
jis,-1.2028387459491023
ka,-1.0691803850284087
ni,-1.104316031693384
wah_wah,-1.0221751108102546
yeh,-1.1417427586914115
toh,-1.1684979032484508
bad,-1.1967072851892047
yar,-1.1517222325103387
es,-1.103262323161238
leay,-1.1922242943219856
ki_koshish,-1.1274102445715513
ju,-1.0053097489522151
apk,-1.0990819107818994
hain,-1.1620790616038503
apki,-1.1418502397283536
hansi,-1.095901304659856
gy,-1.0886503850746743
bhut,-1.1693188270557082
sada,-1.1492147506495534
time,-1.264492555502537
same,-1.1867102782751366
nahi,-1.1293573725806487
bohat_khoob,-1.111057120167677
alhamdulillah,-1.1421907280711603
dil,-1.1748768477794833
khud,-1.1705330094593263
ho,-1.13611771488937
yhi,-1.1690150546566067
bahi,-1.166983204944839
bhi,-1.1643419144308398
khuda,-1.1321127522805023
dr,-1.1616011894479672
haq,-1.205181924527431
ha_but,-1.0331047481953617
bar_bar,-1.121184920238617
ak,-1.1397581504497802
q,-1.1680933979373982
yr,-1.1938128543957505
sub,-1.1619111807922398
kerne,-1.177195237829554
wala,-1.1609980150754062
mara,-1.2105977584060077
jasa,-1.077565772512574
log,-1.2172164281909132
ma,-1.0760395089926933
hun,-1.1385093830778141
hero,-1.2203836697395685
tara,-1.152069195051813
feel,-1.037403774222365
kar,-1.177610429036254
speed,-1.2336723487394845
bot,-1.1134519966423353
isy,-1.111351875367712
kahty,-1.0164653979278513
by,-1.1809094182748148
great,-1.1543052366755813
aadmi,-1.1413350553309884
in,-1.1110057728662934
england,-1.256352279201674
attaullah_esakhelvi,-1.2587394498689635
married,-1.0251326969903032
with_a,-1.0606558920849989
british,-1.1708358849286107
lady,-1.1575276474433362
he_has,-0.9937210209525543
one,-1.145640851524018
son,-1.0963999224843646
with,-1.2369776870417843
her,-1.2769186998120248
second,-1.0734466704001109
she_is,-1.1585189652118728
famous,-1.169521110601488
actress,-1.1891796704250444
and,-1.0528127279092152
only,-1.0284977656642926
received,-1.0406518828729465
the,-1.078313375593097
government,-1.119793360127153
of_pakistan,-1.1472984384502658
achievement_award,-1.1282795604531148
queen,-1.0989356266779773
of,-1.1096823413949324
record,-1.2129455875578872
for,-1.1158578511309907
singer,-1.0635933991134106
most,-0.9310546213223516
ka_shumar,-1.2200024487570489
un,-1.1396994675957424
artists,-1.2053341305199676
mein,-1.0338489124809602
kiya_jata,-1.142675277402744
jin,-1.189939169929325
ki_maqboliyat,-1.1992446011263374
hone,-1.2300087842872813
le_kar,-1.1934582909173583
shohrat,-1.2357569840811689
ke_urooj,-1.021874114635001
tak_pohanchne,-0.9778629401403005
tak,-1.156168886385594
radio,-1.210694769087615
tv,-1.1743532611036431
film,-1.1350928846235346
ke,-0.9710824983966815
agarcha,-1.2969405185207623
aise,-1.2095399937158917
begum,-1.1203902428744572
